"","idPlot","nroInvent","idSet","measure","date","SI","HD","AGE","SP","SI.2","date.setup","TPH","BA","DG","DBH"
"406","02619104","-1","ibero.pt","backdating",1998-06-05,16.1155766828667,6.71496188067027,27.75,26,16.0588127107078,2003-06-05,1938.15352920797,23.6473073275337,12.4638386709093,14.2246656759829
"407","02619104","0","ibero.pt","setup",2003-06-05,16.1155766828667,7.95,32.75,26,16.0588127107078,2003-06-05,1252.0188856565,18.4237472222271,13.6879560652038,15.4230769230769
"455","02642105","-1","ibero.pt","backdating",1998-05-08,22.5509687272802,11.5996169898121,26.75,26,22.5106672444526,2003-05-08,580.03134815713,29.6735108687819,25.5219464535552,26.4729780643807
"456","02642105","0","ibero.pt","setup",2003-05-08,22.5509687272802,13.2,31.75,26,22.5106672444526,2003-05-08,509.2958178938,28.9051277777576,26.8817446317071,27.4096774193548
"463","02642108","-1","ibero.pt","backdating",1998-05-08,19.8890434930908,9.3677445643276,26.75,26,19.9020457088754,2003-05-08,1174.20980236687,32.1060751784071,18.6584609382751,20.2828797734751
"464","02642108","0","ibero.pt","setup",2003-05-08,19.8890434930908,10.85,31.75,26,19.9020457088754,2003-05-08,912.4883403938,29.297758333335,20.2189497806504,21.0702702702703
"465","02642108","1","ibero.pt","measure",2008-06-18,19.8890434930908,12.2109755478637,36.8678082191781,26,19.9020457088754,2003-05-08,930.1722229593,32.846319444437,21.2039480863486,23.0794871794872
"466","02642108","2","ibero.pt","measure",2013-09-24,19.8890434930908,13.4736738043581,42.1390410958904,26,19.9020457088754,2003-05-08,696.744973091,32.4179388888721,24.3394542981729,25.2578947368421
"518","02642306","-1","ibero.pt","backdating",1998-09-09,22.1496195334983,8.97470707303082,20.75,26,22.0218054511299,2003-09-09,2369.64026381266,33.3792781935752,13.3922121218907,14.4861018446149
"519","02642306","0","ibero.pt","setup",2003-09-09,22.1496195334983,10.825,25.75,26,22.0218054511299,2003-09-09,1510.2035711172,27.1832750000148,15.138686735169,15.5261904761905
"520","02642306","1","ibero.pt","measure",2008-10-29,22.1496195334983,12.4893009155293,30.8924657534247,26,22.0218054511299,2003-09-09,1655.21140815571,35.2498222222222,16.4667081905425,16.0512820512821
"521","02642306","2","ibero.pt","measure",2013-09-25,22.1496195334983,13.8945072557038,35.8020547945205,26,22.0218054511299,2003-09-09,1641.0643021031,42.2639222222222,18.1082782555192,17.625
"564","02644107","-1","ibero.pt","backdating",1998-07-25,15.2883467364619,5.22487267567446,24,26,15.2813458948971,2003-07-25,2610.14106670708,21.5563793411269,10.2544170949263,10.5263708411158
"565","02644107","0","ibero.pt","setup",2003-07-25,15.2883467364619,6.475,29,26,15.2813458948971,2003-07-25,2450.9861236151,21.9033250000005,10.6669351968367,11.3461538461538
"566","02644107","1","ibero.pt","measure",2009-04-30,15.2883467364619,7.8093701986421,34.7698630136986,26,15.2813458948971,2003-07-25,1839.12378683968,23.2637666666667,12.6908173950241,12.3915384615385
"567","02644107","2","ibero.pt","measure",2013-09-26,15.2883467364619,8.75518797905796,39.1808219178082,26,15.2813458948971,2003-07-25,1824.97668078707,27.7550777777778,13.915461814808,13.5992248062016
